Title,Location,Price,Area,Rooms,Interior
Apartment Molenbeekstraat,            1078 XB Amsterdam (Scheldebuurt)        ,"                €1,900 per month            ",75 m²,3 rooms,Upholstered
Apartment Wijdesteeg,            1012 RN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,000 per month            ",55 m²,2 rooms,Furnished
Apartment Johannes Worpstraat 49 2,            1076 BG Amsterdam (Prinses Irenebuurt e.o.)        ,"                €1,500 per month            ",45 m²,2 rooms,Furnished
Apartment Elisabeth Wolffstraat,            1053 TR Amsterdam (Kinkerbuurt)        ,"                €2,650 per month            ",100 m²,4 rooms,Upholstered
Apartment Ridderspoorweg 180,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,950 per month            ",134 m²,4 rooms,Upholstered
Apartment Borssenburgstraat,            1078 VB Amsterdam (IJselbuurt)        ,"                €1,495 per month            ",35 m²,1 room,Furnished
Apartment Van Eeghenstraat,            1071 GK Amsterdam (Museumkwartier)        ,"                €3,750 per month            ",110 m²,3 rooms,Furnished
Apartment Weesperzijde,            1091 ER Amsterdam (Weesperzijde)        ,"                €2,025 per month            ",66 m²,3 rooms,Upholstered
Apartment Boris Pasternakstraat,"            1102 TD Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",46 m²,2 rooms,Furnished
Apartment Oudeschans 110,            1011 LE Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,875 per month            ",65 m²,2 rooms,Upholstered or furnished
House Bloemgracht,            1016 KE Amsterdam (Jordaan)        ,"                €5,000 per month            ",138 m²,6 rooms,Furnished
Apartment John Franklinstraat 47 1,            1056 SX Amsterdam (Van Galenbuurt)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished
Apartment IJdok 51,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €4,750 per month            ",207 m²,5 rooms,Upholstered
Apartment Amstel,            1017 AD Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",75 m²,3 rooms,Furnished
Apartment Van Breestraat,            1071 ZH Amsterdam (Museumkwartier)        ,"                €2,495 per month            ",65 m²,3 rooms,Furnished
Apartment Reyer Anslostraat 9 H,            1054 KT Amsterdam (Overtoomse Sluis)        ,"                €3,200 per month            ",110 m²,4 rooms,Upholstered
Apartment Pieter Aertszstraat,            1073 SL Amsterdam (Nieuwe Pijp)        ,"                €1,900 per month            ",59 m²,2 rooms,Upholstered
Apartment Blankenstraat,            1018 RZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,975 per month            ",71 m²,3 rooms,None
Apartment De Lairessestraat 172 D,            1075 HM Amsterdam (Willemspark)        ,"                €3,250 per month            ",70 m²,3 rooms,None
Apartment Keizersgracht,            1016 DR Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",130 m²,2 rooms,Furnished
Apartment Keizersgracht,            1016 DR Amsterdam (Grachtengordel-West)        ,"                €1,900 per month            ",85 m²,2 rooms,Upholstered
Apartment Van Woustraat,            1073 NB Amsterdam (Zuid Pijp)        ,"                €2,350 per month            ",70 m²,3 rooms,Furnished
Apartment Saskia van Uijlenburgkade 63,            1058 GA Amsterdam (Westlandgracht)        ,"                €3,500 per month            ",140 m²,3 rooms,Furnished
Apartment Maassluisstraat,            1062 GS Amsterdam (Westlandgracht)        ,"                €1,500 per month            ",41 m²,1 room,Upholstered
Apartment James Cookstraat,            1056 SB Amsterdam (Van Galenbuurt)        ,"                €1,495 per month            ",51 m²,1 room,Furnished
Apartment Korte Leidsedwarsstraat 167 E,            1017 RA Amsterdam (De Weteringschans)        ,"                €1,550 per month            ",40 m²,2 rooms,Furnished
Apartment Jan Evertsenstraat,            1061 XZ Amsterdam (Overtoomse Veld)        ,"                €1,695 per month            ",91 m²,3 rooms,Upholstered
Apartment Keizersgracht,            1016 EW Amsterdam (Grachtengordel-West)        ,"                €2,200 per month            ",90 m²,2 rooms,Furnished
Apartment Minervalaan,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",170 m²,6 rooms,Upholstered
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Pieter Baststraat 11,            1071 TV Amsterdam (Museumkwartier)        ,"                €1,900 per month            ",65 m²,3 rooms,Upholstered
Apartment Van Nijenrodeweg 382,            1082 HG Amsterdam (Buitenveldert-West)        ,"                €2,200 per month            ",87 m²,3 rooms,None
Apartment Cliostraat,            1077 KC Amsterdam (Apollobuurt)        ,"                €4,000 per month            ",165 m²,5 rooms,Furnished
Apartment Jisperveldstraat 274,            1024 AN Amsterdam (Waterlandpleinbuurt)        ,"                €1,700 per month            ",85 m²,3 rooms,Furnished
Apartment Govert Flinckstraat,            1073 BZ Amsterdam (Oude Pijp)        ,"                €2,950 per month            ",105 m²,4 rooms,Upholstered
Apartment Nieuwegrachtje,            1011 VP Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",51 m²,2 rooms,Upholstered or furnished
Apartment Sausalitolaan 22,            1031 KE Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,900 per month            ",70 m²,2 rooms,Upholstered
Apartment Keizersgracht,            1017 DZ Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",85 m²,3 rooms,Furnished
Apartment Bredeweg,            1098 BN Amsterdam (Middenmeer)        ,"                €1,450 per month            ",75 m²,2 rooms,Furnished
Apartment Linnaeushof,            1098 KL Amsterdam (Middenmeer)        ,"                €3,250 per month            ",109 m²,5 rooms,Upholstered
Apartment Westerdoksdijk 563,            1013 BX Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",115 m²,3 rooms,Upholstered or furnished
Apartment Lucellestraat 7 2,            1055 HS Amsterdam (Landlust)        ,"                €1,450 per month            ",51 m²,3 rooms,Upholstered
Apartment Van Ostadestraat,            1074 XB Amsterdam (Nieuwe Pijp)        ,"                €1,825 per month            ",55 m²,2 rooms,Upholstered
Apartment Silodam,            1013 AS Amsterdam (Houthavens)        ,"                €2,250 per month            ",83 m²,2 rooms,Furnished
Apartment Hoogte Kadijk,            1018 BE Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,325 per month            ",117 m²,3 rooms,Upholstered
Apartment Admiraal De Ruijterweg,            1055 MG Amsterdam (Landlust)        ,"                €1,800 per month            ",75 m²,3 rooms,Furnished
Apartment Minervalaan 72 H,            1077 PG Amsterdam (Apollobuurt)        ,"                €6,000 per month            ",131 m²,3 rooms,Upholstered or furnished
Apartment Govert Flinckstraat,            1072 EH Amsterdam (Oude Pijp)        ,"                €2,450 per month            ",55 m²,3 rooms,Furnished
Apartment Leeuwenwerf,            1018 KA Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,450 per month            ",104 m²,4 rooms,None
